name,year,miles,color,condition,price
Volvo XC60,2021,"34,656 miles","Blue exterior, Brown interior","No accidents reported, 1 Owner",33998
Honda Pilot,2017,"97,438 miles","Red exterior, Black interior","No accidents reported, 1 Owner",21670
Ford Explorer,2017,"115,951 miles","White exterior, Beige interior","No accidents reported, 2 Owners",15998
Chevrolet Equinox,2020,"108,281 miles","White exterior, Black interior","1 accident reported, 2 Owners",15998
Mercedes-Benz GLC,2019,"67,648 miles","Black exterior, Black interior","No accidents reported, 2 Owners",22999
Mercedes-Benz GLE,2021,"21,413 miles","Black exterior, Black interior","No accidents reported, 1 Owner",42762
Chevrolet Volt,2013,"102,479 miles","Silver exterior, Black interior","No accidents reported, 5 Owners",12599
Jeep Grand Cherokee,2018,"67,086 miles","White exterior, Black interior","No accidents reported, 2 Owners",24998
Honda Accord,2023,"2,414 miles","White exterior, Black interior","No accidents reported, 1 Owner",25998
Honda Odyssey,2019,"51,617 miles","Silver exterior, Brown interior","1 accident reported, 1 Owner",28998
BMW 3 Series,2017,"78,006 miles","Gray exterior, Black interior","1 accident reported, 2 Owners",17998
Jeep Wrangler,2016,"82,472 miles","Black exterior, Black interior","No accidents reported, 1 Owner",23998
Chevrolet Malibu,2022,"36,517 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",16499
Mercedes-Benz S-Class,2015,"62,007 miles","Blue exterior, Beige interior","No accidents reported, 2 Owners",29333
Nissan Sentra,2019,"50,045 miles","Gray exterior, Black interior","No accidents reported, 2 Owners",16998
Volvo S90,2019,"30,202 miles","Black exterior, Black interior","No accidents reported, 2 Owners",26989
BMW X3,2021,"12,093 miles","Black exterior, Black interior","No accidents reported, 1 Owner",32998
Mercedes-Benz C-Class,2017,"46,904 miles","White exterior, Black interior","3 accidents reported, 3 Owners",25998
Mercedes-Benz GLS,2019,"22,998 miles","Silver exterior, Black interior","1 accident reported, 1 Owner",39999
Ford Mustang,2014,"84,324 miles","Silver exterior, Black interior","1 accident reported, 2 Owners",18481
Ford Bronco Sport,2022,"5,335 miles","Black exterior, Black interior","1 accident reported, 1 Owner",26495
Toyota Camry,2018,"13,411 miles","Black exterior, Black interior","1 accident reported, 1 Owner",24998
Mitsubishi Outlander Sport,2020,"53,961 miles","Black exterior, Black interior","No accidents reported, 2 Owners",15999
Volvo XC90,2016,"126,749 miles","Black exterior, Brown interior","No accidents reported, 3 Owners",19998
Honda Odyssey,2021,"30,252 miles","Gray exterior, Unknown interior","No accidents reported, 1 Owner",35498
Kia Forte,2021,"37,385 miles","White exterior, Black interior","No accidents reported, 1 Owner",14999
Lexus RX,2020,"37,965 miles","Black exterior, Black interior","No accidents reported, 1 Owner",35998
Mercedes-Benz E-Class,2022,"27,642 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",41998
Nissan Versa,2017,"87,358 miles","Gray exterior, Black interior","1 accident reported, 1 Owner",8488
Jeep Wrangler,2021,"19,914 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",35998
Ford Edge,2017,"89,932 miles","Black exterior, Black interior","No accidents reported, 2 Owners",13998
Toyota Camry,2023,"19,140 miles","White exterior, Unknown interior","No accidents reported, 1 Owner",24575
BMW 7 Series,2019,"66,896 miles","Black exterior, Black interior","No accidents reported, 1 Owner",28624
Mercedes-Benz S-Class,2020,"17,122 miles","White exterior, Black interior","No accidents reported, 2 Owners",59930
Chevrolet Silverado 1500,2021,"41,233 miles","White exterior, Black interior","1 accident reported, 2 Owners",32197
Lexus RX,2011,"95,016 miles","Red exterior, Black interior","No accidents reported, 2 Owners",15049
Honda Civic,2016,"88,063 miles","Silver exterior, Black interior","1 accident reported, 3 Owners",17998
BMW 4 Series,2017,"70,468 miles","Gray exterior, Black interior","No accidents reported, 2 Owners",20998
Hyundai Sonata,2013,"95,775 miles","Silver exterior, Gray interior","No accidents reported, 2 Owners",13998
BMW X4 M,2022,"24,935 miles","White exterior, Orange interior","No accidents reported, 2 Owners",64998
Chrysler 300,2021,"63,819 miles","Black exterior, Black interior","No accidents reported, 1 Owner",20599
Ford Fusion,2018,"67,207 miles","Gray exterior, Black interior","No accidents reported, 2 Owners",16998
Mazda Mazda3,2016,"48,616 miles","Red exterior, Black interior","No accidents reported, 1 Owner",18998
Mercedes-Benz GLA,2021,"39,860 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",26965
Chevrolet Silverado 1500,2021,"15,138 miles","White exterior, Black interior","1 accident reported, 1 Owner",38008
Lexus LX,2018,"60,028 miles","White exterior, Red interior","3 accidents reported, 1 Owner",53998
Chevrolet Blazer,2020,"23,724 miles","Gray exterior, Black interior","1 accident reported, 1 Owner",24998
Nissan Altima,2021,"58,885 miles","Black exterior, Black interior","No accidents reported, 1 Owner",17993
Ford Bronco Sport,2022,"18,887 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",29795
BMW 3 Series,2016,"77,896 miles","White exterior, Beige interior","1 accident reported, 2 Owners",14621
Mazda CX-9,2014,"102,507 miles","Silver exterior, Black interior","No accidents reported, 2 Owners",10498
Honda S2000,2000,"15,600 miles","Black exterior, Black interior","No accidents reported, 1 Owner",39998
Toyota Tacoma,2019,"48,925 miles","Gray exterior, Gray interior","No accidents reported, 2 Owners",27555
Toyota Tacoma,2017,"97,372 miles","Gray exterior, Gray interior","1 accident reported, 2 Owners",21555
Mercedes-Benz GLA,2022,"2,885 miles","Black exterior, Black interior","No accidents reported, 1 Owner",45999
Toyota Corolla,2021,"44,630 miles","Gray exterior, Black interior","1 accident reported, 2 Owners",17000
Hyundai Palisade,2020,"47,492 miles","Black exterior, Black interior","No accidents reported, 1 Owner",29000
Ford Transit Connect Van,2019,"66,478 miles","White exterior, Black interior","No accidents reported, 1 Owner",22995
Mercedes-Benz C-Class,2021,"18,769 miles","Silver exterior, Unknown interior","No accidents reported, 1 Owner",29990
BMW 7 Series,2015,"57,707 miles","White exterior, Black interior","No accidents reported, 3 Owners",27998
Honda Odyssey,2020,"26,469 miles","White exterior, Gray interior","No accidents reported, 1 Owner",31997
Ford Explorer,2022,"10,608 miles","White exterior, Black interior","No accidents reported, 1 Owner",45828
Ford Fusion,2015,"83,650 miles","White exterior, Gray interior","No accidents reported, 1 Owner",11995
Honda CR-V,2020,"74,031 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",23998
Volvo S60,2018,"55,196 miles","Gray exterior, Black interior","No accidents reported, 2 Owners",18975
Ford Mustang,2015,"107,676 miles","Orange exterior, Black interior","No accidents reported, 2 Owners",14300
Volkswagen Tiguan,2020,"17,193 miles","Black exterior, Black interior","No accidents reported, 1 Owner",19490
Mercedes-Benz S-Class,2014,"88,900 miles","White exterior, Beige interior","No accidents reported, 1 Owner",24502
Chevrolet Traverse,2020,"57,826 miles","White exterior, Black interior","1 accident reported, 1 Owner",28600
Chrysler Pacifica,2018,"73,428 miles","White exterior, Black interior","No accidents reported, 2 Owners",19998
Mercedes-Benz C-Class,2020,"30,791 miles","Silver exterior, Gray interior","1 accident reported, 1 Owner",24791
Toyota Corolla,2021,"11,703 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",18782
Land Rover Range Rover Sport,2013,"124,544 miles","Silver exterior, Black interior","No accidents reported, 3 Owners",11995
Acura RDX,2021,"44,809 miles","White exterior, Black interior","No accidents reported, 1 Owner",28250
Honda Civic,2021,"19,299 miles","Gray exterior, Black interior","1 accident reported, 1 Owner",18998
Volvo XC90,2021,"30,944 miles","Blue exterior, Beige interior","No accidents reported, 1 Owner",38749
Honda Civic,2021,"20,684 miles","White exterior, Black interior","No accidents reported, 1 Owner",22500
Maserati Quattroporte,2019,"66,469 miles","Blue exterior, Brown interior","No accidents reported, 1 Owner",28421
Volkswagen Tiguan,2020,"28,897 miles","White exterior, Black interior","1 accident reported, 1 Owner",20998
BMW 3 Series,2015,"60,478 miles","Black exterior, Black interior","1 accident reported, 2 Owners",16998
Land Rover Range Rover Sport,2021,"53,743 miles","Black exterior, Black interior","No accidents reported, 1 Owner",47995
Chevrolet Equinox,2020,"28,980 miles","Black exterior, Black interior","No accidents reported, 1 Owner",19795
Porsche Cayenne,2020,"44,880 miles","Silver exterior, Black interior","No accidents reported, 3 Owners",43998
Hyundai Accent,2016,"94,267 miles","White exterior, Gray interior","No accidents reported, 2 Owners",6999
