name,year,miles,color,condition,price
Kia Soul,2022,"33,047 miles","White exterior, Black interior","No accidents reported, 1 Owner",16988
Chevrolet Silverado 1500,2018,"50,079 miles","White exterior, Black interior","No accidents reported, 4 Owners",24777
Toyota Sienna,2020,"10,093 miles","Silver exterior, Black interior","1 accident reported, 1 Owner",35666
Mercedes-Benz C-Class,2018,"55,367 miles","White exterior, Black interior","No accidents reported, 2 Owners",24166
Volkswagen Tiguan,2021,"28,914 miles","White exterior, Black interior","No accidents reported, 1 Owner",18993
Audi Q7,2023,"2,738 miles","Black exterior, Black interior","No accidents reported, 1 Owner",53155
Ford Explorer,2022,"28,520 miles","White exterior, Black interior","No accidents reported, 1 Owner",26800
Nissan Versa,2021,"62,103 miles","Blue exterior, Gray interior","No accidents reported, 1 Owner",15641
Land Rover Range Rover,2011,"109,040 miles","Gray exterior, Black interior","No accidents reported, 3 Owners",13995
Mercedes-Benz E-Class,2021,"15,900 miles","Red exterior, Beige interior","No accidents reported, 1 Owner",36591
Ford Explorer,2020,"44,609 miles","Black exterior, Black interior","1 accident reported, 2 Owners",24595
Volkswagen Jetta,2019,"33,822 miles","Black exterior, Black interior","No accidents reported, 1 Owner",15444
Toyota Highlander,2021,"16,775 miles","Red exterior, Black interior","No accidents reported, 1 Owner",40222
Toyota 4Runner,2021,"62,820 miles","Red exterior, Black interior","No accidents reported, 1 Owner",27600
Kia Optima,2020,"41,053 miles","White exterior, Black interior","No accidents reported, 2 Owners",22998
Toyota RAV4,2021,"62,673 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",23993
BMW X3,2020,"61,144 miles","Black exterior, Black interior","No accidents reported, 1 Owner",22100
Lexus UX,2022,"12,642 miles","Red exterior, Black interior","No accidents reported, 1 Owner",29333
Audi A3,2023,615 miles,"Black exterior, Black interior","No accidents reported, 1 Owner",34995
BMW X3,2021,"25,621 miles","Black exterior, Black interior","No accidents reported, 1 Owner",29498
Toyota Corolla,2021,"63,421 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",18693
Toyota Prius,2012,"187,405 miles","White exterior, Unknown interior","No accidents reported, 3 Owners",10995
Mercedes-Benz C-Class,2015,"49,125 miles","Blue exterior, Unknown interior","No accidents reported, 2 Owners",16995
BMW 3 Series,2021,"7,800 miles","Gray exterior, Beige interior","No accidents reported, 1 Owner",30999
BMW 3 Series,2015,"117,179 miles","Black exterior, Black interior","No accidents reported, 4 Owners",7695
Nissan Maxima,2018,"43,047 miles","Red exterior, Beige interior","No accidents reported, 2 Owners",21998
Mercedes-Benz GLB,2023,"5,723 miles","Black exterior, Black interior","No accidents reported, 1 Owner",41151
BMW 5 Series,2023,"6,776 miles","Black exterior, Black interior","No accidents reported, 1 Owner",69999
Audi Q5,2022,"10,969 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner",36993
Toyota RAV4,2021,"44,447 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",25795
Dodge Charger,2019,"129,303 miles","White exterior, Black interior","No accidents reported, 2 Owners",13999
Mercedes-Benz C-Class,2020,"19,543 miles","Silver exterior, Beige interior","No accidents reported, 1 Owner",26889
Mercedes-Benz GLE,2017,"52,826 miles","Black exterior, Black interior","1 accident reported, 3 Owners",23499
BMW 4 Series,2021,"48,855 miles","White exterior, Red interior","No accidents reported, 1 Owner",40497
Mazda Mazda6,2016,"86,686 miles","White exterior, Black interior","2 accidents reported, 2 Owners",16998
Subaru Crosstrek,2021,"41,707 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",24991
Mercedes-Benz GLC,2021,"28,374 miles","White exterior, Black interior","No accidents reported, 1 Owner",29933
Subaru Forester,2017,"62,567 miles","Gray exterior, Gray interior","1 accident reported, 2 Owners",17889
Nissan Frontier,2022,"12,232 miles","White exterior, Black interior","No accidents reported, 1 Owner",26988
Toyota Prius,2013,"131,525 miles","White exterior, Gray interior","1 accident reported, 2 Owners",10895
Ford Econoline Cargo Van,2011,"152,825 miles","White exterior, Unknown interior","No accidents reported, 2 Owners",9998
Jeep Wrangler,2022,"16,700 miles","Black exterior, Black interior","No accidents reported, 2 Owners",38444
Honda Civic,2012,"124,873 miles","Gray exterior, Gray interior","1 accident reported, 4 Owners",8995
Jaguar E-PACE,2020,"22,112 miles","Gray exterior, Unknown interior","No accidents reported, 1 Owner",26666
BMW X5,2020,"27,051 miles","Gray exterior, Black interior","No accidents reported, 2 Owners",37498
Audi A5,2023,"6,091 miles","Black exterior, Black interior","No accidents reported, 1 Owner",36462
Honda Accord,2020,"35,882 miles","Gray exterior, Black interior","1 accident reported, 1 Owner",25498
Subaru Outback,2023,"8,474 miles","White exterior, Gray interior","No accidents reported, 1 Owner",34600
Volvo XC90,2021,"28,560 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",38994
BMW X5,2022,"17,842 miles","Black exterior, Black interior","No accidents reported, 1 Owner",43988
Jeep Wrangler,2022,"17,313 miles","Black exterior, Black interior","No accidents reported, 1 Owner",39566
BMW X5,2013,"103,297 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",11995
Honda Civic,2020,"46,571 miles","Red exterior, Black interior","No accidents reported, 2 Owners",17495
FIAT 124 Spider,2017,"48,992 miles","Gray exterior, Black interior","No accidents reported, 2 Owners",16200
Dodge Charger,2018,"105,394 miles","White exterior, Black interior","No accidents reported, 2 Owners",18998
Acura RDX,2020,"41,508 miles","Black exterior, Black interior","No accidents reported, 1 Owner",24689
Kia K5,2022,"49,207 miles","Red exterior, Black interior","No accidents reported, 1 Owner",18998
Audi A3,2023,"2,235 miles","Black exterior, Black interior","No accidents reported, 1 Owner",33995
Mercedes-Benz E-Class,2020,"38,110 miles","Silver exterior, Black interior","No accidents reported, 3 Owners",32595
Toyota Corolla,2021,"53,960 miles","White exterior, Unknown interior","No accidents reported, 1 Owner",21350
Subaru Impreza,2015,"80,234 miles","Blue exterior, Black interior","No accidents reported, 2 Owners",14998
Toyota Corolla Cross,2022,"7,033 miles","White exterior, Black interior","No accidents reported, 1 Owner",28333
Honda Accord,2022,"31,454 miles","White exterior, Black interior","No accidents reported, 1 Owner",24987
Lincoln Nautilus,2021,"7,425 miles","Tan exterior, Beige interior","No accidents reported, 1 Owner",36995
Ford F-150,2023,198 miles,"Gray exterior, Black interior","No accidents reported, 1 Owner",59988
Honda Accord,2021,"68,744 miles","White exterior, Black interior","No accidents reported, 1 Owner",24493
Ford F-150,2022,"7,383 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",41563
Land Rover Range Rover Evoque,2014,"81,607 miles","Black exterior, Black interior","No accidents reported, 2 Owners",14995
Volkswagen Atlas,2019,"28,165 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",27998
Land Rover Range Rover,2017,"51,250 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",40000
Chevrolet Malibu,2022,"43,257 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",17400
Toyota RAV4,2021,"61,589 miles","Black exterior, Unknown interior","No accidents reported, 1 Owner",26685
Chevrolet Corvette,2014,"42,423 miles","Black exterior, Black interior","No accidents reported, 1 Owner",41998
Acura MDX,2017,"113,292 miles","White exterior, Black interior","No accidents reported, 1 Owner",19998
Toyota RAV4,2021,"62,935 miles","Black exterior, Black interior","1 accident reported, 1 Owner",22998
Audi A3,2023,"2,110 miles","White exterior, Beige interior","No accidents reported, 1 Owner",32995
Toyota Venza,2021,"14,150 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",32000
BMW 3 Series,2016,"75,635 miles","White exterior, Black interior","No accidents reported, 1 Owner",16998
Honda Civic,2017,"26,208 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",23998
Hyundai Sonata,2019,"38,199 miles","Black exterior, Black interior","1 accident reported, 1 Owner",18998
Volkswagen Tiguan,2015,"71,416 miles","Tan exterior, Black interior","No accidents reported, 3 Owners",15998
Land Rover Defender,2021,"29,490 miles","Silver exterior, Brown interior","No accidents reported, 1 Owner",71222
Honda Civic,2022,"28,188 miles","White exterior, Black interior","No accidents reported, 1 Owner",26998
Chevrolet Equinox,2020,"47,370 miles","Black exterior, Gray interior","No accidents reported, 3 Owners",19998
BMW 5 Series,2023,"9,109 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",45498
Subaru Forester,2017,"99,241 miles","Black exterior, Black interior","No accidents reported, 1 Owner",14948
Honda Civic,2020,"36,732 miles","Gray exterior, Unknown interior","No accidents reported, 2 Owners",21721
Honda Fit,2015,"84,457 miles","Red exterior, Black interior","1 accident reported, 2 Owners",14998
Toyota 4Runner,2019,"45,870 miles","Black exterior, Black interior","1 accident reported, 1 Owner",29998
Hyundai Elantra,2020,"41,417 miles","White exterior, Black interior","No accidents reported, 1 Owner",18998
Land Rover Range Rover Sport,2009,"112,045 miles","Black exterior, Black interior","5 accidents reported, 5 Owners",9995
Hyundai Sonata,2016,"37,285 miles","Gray exterior, Gray interior","1 accident reported, 1 Owner",15987
Honda Civic,2017,"23,045 miles","Black exterior, Black interior","2 accidents reported, 1 Owner",22998
Chevrolet Spark,2022,"36,292 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",13650
Mercedes-Benz C-Class,2015,"78,923 miles","Black exterior, Black interior","No accidents reported, 4 Owners",16999
BMW M6,2014,"43,936 miles","Black exterior, Black interior","No accidents reported, 2 Owners",36998
Subaru Crosstrek,2021,"7,485 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",26300
Subaru Outback,2020,"69,006 miles","White exterior, Brown interior","No accidents reported, 2 Owners",24323
Ford F-150,2019,"112,327 miles","White exterior, Gray interior","No accidents reported, 1 Owner",19998
Jaguar F-PACE,2019,"47,051 miles","Black exterior, Unknown interior","No accidents reported, 1 Owner",29013
Nissan Versa,2016,"69,957 miles","White exterior, Black interior","No accidents reported, 2 Owners",9988
Jeep Gladiator,2022,"32,956 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",35998
Mercedes-Benz E-Class,2006,"83,321 miles","Gray exterior, Unknown interior","No accidents reported, 0 Owners",7695
Mercedes-Benz C-Class,2023,"9,779 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",40777
Kia Forte,2021,"26,203 miles","Black exterior, Black interior","No accidents reported, 1 Owner",16995
Honda Civic,2012,"126,639 miles","Black exterior, Gray interior","No accidents reported, 2 Owners",8995
Honda Odyssey,2020,"22,045 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner",32781
Dodge Challenger,2012,"112,067 miles","Black exterior, Gray interior","No accidents reported, 2 Owners",16750
Chevrolet Tahoe,2023,"3,924 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",64150
Mercedes-Benz GLC,2021,"11,858 miles","White exterior, Beige interior","No accidents reported, 1 Owner",31933
BMW M5,2007,"119,568 miles","Silver exterior, Gray interior","1 accident reported, 5 Owners",16400
Honda Pilot,2021,"30,283 miles","Black exterior, Black interior","1 accident reported, 1 Owner",31187
Toyota Tacoma,2022,"18,137 miles","White exterior, Gray interior","No accidents reported, 1 Owner",33520
Audi Q5,2020,"24,359 miles","Gray exterior, Black interior","1 accident reported, 1 Owner",30855
Mercedes-Benz C-Class,2019,"46,446 miles","Blue exterior, Beige interior","No accidents reported, 2 Owners",22000
Audi Q3,2020,"24,398 miles","Blue exterior, Brown interior","No accidents reported, 1 Owner",25725
BMW 3 Series,2013,"56,891 miles","Gold exterior, Black interior","No accidents reported, 1 Owner",17998
Mercedes-Benz E-Class,2020,"22,338 miles","Gray exterior, Black interior","1 accident reported, 1 Owner",43014
Kia Sedona,2016,"122,368 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner",13998
Toyota Corolla,2021,"66,531 miles","Red exterior, Black interior","No accidents reported, 1 Owner",18694
Subaru Crosstrek,2021,"34,129 miles","Black exterior, Black interior","No accidents reported, 1 Owner",24499
Mercedes-Benz GLC,2019,"33,933 miles","Black exterior, Black interior","No accidents reported, 2 Owners",26888
Mercedes-Benz GLC,2020,"37,045 miles","Black exterior, Unknown interior","No accidents reported, 1 Owner",26988
Mazda CX-5,2021,"62,203 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",21888
Jeep Wrangler,2012,"42,222 miles","Black exterior, Black interior","1 accident reported, 1 Owner",21677
Audi A5,2023,"2,077 miles","Black exterior, Black interior","No accidents reported, 1 Owner",37998
Toyota Camry,2015,"84,982 miles","White exterior, Black interior","No accidents reported, 1 Owner",16998
Land Rover Range Rover Evoque,2012,"95,743 miles","White exterior, White interior","No accidents reported, 2 Owners",13995
Toyota RAV4,2017,"96,286 miles","Black exterior, Black interior","No accidents reported, 2 Owners",16888
Ford F-150,2021,"62,048 miles","Silver exterior, Black interior","1 accident reported, 1 Owner",40678
Chevrolet Equinox,2018,"46,513 miles","Silver exterior, Black interior","3 accidents reported, 1 Owner",14987
Volvo XC90,2021,"29,141 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",38993
Toyota Tacoma,2020,"28,772 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",34998
Chevrolet Malibu,2022,"36,428 miles","White exterior, Gray interior","No accidents reported, 1 Owner",18998
Mercedes-Benz C-Class,2019,"49,842 miles","Black exterior, Black interior","No accidents reported, 2 Owners",25163
Jeep Gladiator,2020,"28,908 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",30991
Mercedes-Benz C-Class,2021,"15,387 miles","Black exterior, Black interior","No accidents reported, 1 Owner",33009
Subaru Forester,2021,"8,879 miles","Green exterior, Gray interior","No accidents reported, 1 Owner",26065
Toyota Highlander,2020,"18,999 miles","Gray exterior, Gray interior","1 accident reported, 1 Owner",33998
BMW X1,2021,"37,595 miles","Black exterior, Black interior","No accidents reported, 1 Owner",23997
Mercedes-Benz C-Class,2023,"7,663 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",39777
Ford F-150,2020,"73,920 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",27998
Mercedes-Benz GLE,2021,"23,303 miles","Silver exterior, Beige interior","No accidents reported, 1 Owner",42991
Subaru Outback,2023,"5,688 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner",34600
Toyota Camry,2019,"37,498 miles","White exterior, Black interior","2 accidents reported, 1 Owner",23998
Hyundai Santa Fe,2020,"34,444 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",25998
Volkswagen Atlas,2021,"57,902 miles","Black exterior, Black interior","1 accident reported, 1 Owner",29998
Hyundai Elantra,2012,"135,320 miles","Red exterior, Black interior","No accidents reported, 3 Owners",6500
Mercedes-Benz GLA,2020,"72,921 miles","Black exterior, Black interior","1 accident reported, 1 Owner",19495
Buick Enclave,2023,"10,581 miles","White exterior, Black interior","No accidents reported, 1 Owner",47000
Toyota Prius,2022,"28,082 miles","Black exterior, Black interior","1 accident reported, 1 Owner",22500
Dodge Grand Caravan,2019,"54,821 miles","White exterior, Black interior","No accidents reported, 2 Owners",20998
Lexus NX,2021,"65,710 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",23991
Chevrolet Corvette,2023,"2,088 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",93000
Toyota Tacoma,2021,"22,721 miles","Gray exterior, Gray interior","2 accidents reported, 1 Owner",31000
Land Rover Range Rover,2007,"108,459 miles","White exterior, White interior","No accidents reported, 4 Owners",9995
Toyota Corolla,2021,"63,321 miles","White exterior, Gray interior","1 accident reported, 1 Owner",18794
Toyota Corolla,2022,"17,868 miles","Black exterior, Black interior","No accidents reported, 1 Owner",20299
Mercedes-Benz GLA,2022,"6,097 miles","White exterior, Beige interior","No accidents reported, 1 Owner",32666
Toyota Corolla,2022,"33,868 miles","White exterior, Black interior","No accidents reported, 1 Owner",17593
Ford Escape,2022,"36,066 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",20799
Audi Q5,2022,"11,651 miles","Gray exterior, Gray interior","No accidents reported, 2 Owners",33497
Kia Forte,2020,"96,157 miles","Gray exterior, Black interior","No accidents reported, 3 Owners",10995
BMW X5,2012,"101,835 miles","Silver exterior, Black interior","No accidents reported, 2 Owners",10400
Chevrolet Camaro,2022,"9,952 miles","Unknown exterior, Unknown interior","No accidents reported, 1 Owner",30195
Toyota Camry,2020,"25,298 miles","White exterior, Red interior","No accidents reported, 1 Owner",29999
Kia Optima,2019,"55,465 miles","Silver exterior, Black interior","2 accidents reported, 4 Owners",17998
INFINITI Q50,2020,"27,926 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",28400
Ford Escape,2020,"36,158 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",16988
Mercedes-Benz GLC,2023,"4,202 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",50838
Subaru Outback,2024,"5,699 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner",34800
Toyota Tacoma,2013,"111,951 miles","Black exterior, Gray interior","2 accidents reported, 1 Owner",22250
Volvo XC90,2020,"55,536 miles","White exterior, Beige interior","No accidents reported, 1 Owner",43163
Nissan Titan,2017,"50,920 miles","Black exterior, Black interior","No accidents reported, 1 Owner",30998
Toyota RAV4,2019,"16,985 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner",28599
Mercedes-Benz A-Class,2020,"65,629 miles","White exterior, Black interior","1 accident reported, 1 Owner",20555
Toyota Prius,2015,"94,528 miles","Gray exterior, Gray interior","1 accident reported, 1 Owner",16998
Chevrolet Volt,2017,"110,560 miles","White exterior, Black interior","1 accident reported, 1 Owner",10986
Mercedes-Benz S-Class,2023,"4,813 miles","Black exterior, Black interior","No accidents reported, 1 Owner",104784
Toyota Highlander,2021,"57,404 miles","Blue exterior, Red interior","No accidents reported, 1 Owner",32555
Subaru Forester,2021,"43,610 miles","Blue exterior, Gray interior","No accidents reported, 1 Owner",25099
Toyota RAV4,2021,"62,673 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",23993
BMW X3,2020,"61,144 miles","Black exterior, Black interior","No accidents reported, 1 Owner",22100
Lexus UX,2022,"12,642 miles","Red exterior, Black interior","No accidents reported, 1 Owner",29333
Audi A3,2023,615 miles,"Black exterior, Black interior","No accidents reported, 1 Owner",34995
BMW X3,2021,"25,621 miles","Black exterior, Black interior","No accidents reported, 1 Owner",29498
Ford F-150,2021,"44,974 miles","White exterior, Gray interior","No accidents reported, 1 Owner",35998
Ford F-150,2019,"44,978 miles","Black exterior, Black interior","No accidents reported, 1 Owner",30795
Nissan Versa,2022,"54,626 miles","Black exterior, Black interior","No accidents reported, 1 Owner",13950
Subaru Forester,2021,"17,357 miles","Black exterior, Brown interior","No accidents reported, 1 Owner",28299
Toyota RAV4,2021,"34,135 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",25727
Subaru Outback,2022,"25,164 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",29474
Chrysler 200,2015,"110,746 miles","Black exterior, Black interior","No accidents reported, 3 Owners",9495
Land Rover Range Rover Sport,2014,"74,390 miles","Silver exterior, Black interior","2 accidents reported, 3 Owners",25995
Ford Explorer,2021,"42,808 miles","White exterior, Black interior","No accidents reported, 1 Owner",36500
Volkswagen Jetta,2016,"121,571 miles","Gray exterior, Black interior","1 accident reported, 3 Owners",7885
Subaru Ascent,2022,"12,435 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner",34449
Mercedes-Benz GLC,2019,"37,682 miles","Black exterior, Black interior","No accidents reported, 1 Owner",26998
Chevrolet Tahoe,2016,"95,699 miles","Silver exterior, Black interior","No accidents reported, 2 Owners",23887
Jeep Wrangler,2014,"76,436 miles","White exterior, Black interior","2 accidents reported, 1 Owner",21499
Honda Civic,2019,"45,246 miles","White exterior, Black interior","No accidents reported, 2 Owners",21998
Chevrolet Corvette,2021,"6,537 miles","Yellow exterior, Black interior","No accidents reported, 1 Owner",82150
Mercedes-Benz GLA,2021,"26,991 miles","White exterior, Black interior","1 accident reported, 1 Owner",29649
Audi Q3,2018,"21,714 miles","White exterior, Black interior","No accidents reported, 1 Owner",21499
Mercedes-Benz CLA,2014,"58,783 miles","White exterior, Black interior","No accidents reported, 1 Owner",16999
Chevrolet Traverse,2017,"60,307 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner",18998
Mercedes-Benz C-Class,2020,"37,120 miles","Silver exterior, Black interior","No accidents reported, 2 Owners",28222
Toyota Corolla,2020,"29,126 miles","White exterior, Black interior","1 accident reported, 2 Owners",19497
Chevrolet Silverado 1500,2021,"104,561 miles","White exterior, Black interior","1 accident reported, 3 Owners",31998
Audi A3,2023,"1,193 miles","Black exterior, Black interior","No accidents reported, 1 Owner",32995
Kia Soul,2015,"74,267 miles","Gray exterior, Black interior","2 accidents reported, 3 Owners",8476
BMW X1,2015,"115,152 miles","Black exterior, Brown interior","1 accident reported, 2 Owners",11495
Lexus RX,2018,"50,215 miles","White exterior, Gray interior","1 accident reported, 1 Owner",27986
Ford Explorer,2021,"9,876 miles","White exterior, Gray interior","No accidents reported, 1 Owner",31486
Kia K5,2022,"41,939 miles","White exterior, Black interior","No accidents reported, 1 Owner",22500
Kia K5,2021,"56,108 miles","Black exterior, Black interior","No accidents reported, 1 Owner",17988
Jeep Compass,2021,"42,815 miles","White exterior, Black interior","No accidents reported, 1 Owner",19759
Subaru Impreza,2020,"28,266 miles","White exterior, Black interior","No accidents reported, 1 Owner",21620
Jeep Wrangler,2018,"50,118 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",24515
Mercedes-Benz A-Class,2019,"27,297 miles","Silver exterior, Black interior","1 accident reported, 1 Owner",22588
Dodge Challenger,2015,"26,780 miles","Black exterior, Black interior","1 accident reported, 2 Owners",46988
Jeep Grand Cherokee,2020,"43,868 miles","White exterior, Black interior","No accidents reported, 1 Owner",25000
Lexus ES,2021,"12,283 miles","Green exterior, Black interior","No accidents reported, 1 Owner",34000
Mercedes-Benz GLC,2021,"25,690 miles","White exterior, Beige interior","No accidents reported, 1 Owner",32904
Audi Q3,2018,"34,641 miles","White exterior, Black interior","No accidents reported, 1 Owner",23998
Kia Forte,2021,"15,084 miles","Black exterior, Black interior","No accidents reported, 1 Owner",17995
Ford Explorer,2021,"17,691 miles","Black exterior, Black interior","No accidents reported, 1 Owner",31998
Subaru Ascent,2021,"23,805 miles","White exterior, Beige interior","No accidents reported, 1 Owner",30000
Subaru Outback,2024,"6,202 miles","White exterior, Beige interior","No accidents reported, 1 Owner",34800
Aston Martin DB9,2008,"20,938 miles","Black exterior, Black interior","No accidents reported, 4 Owners",40900
Hyundai Santa Fe,2023,"32,148 miles","White exterior, Black interior","No accidents reported, 1 Owner",21800
Honda Civic,2017,"79,022 miles","Red exterior, Black interior","3 accidents reported, 2 Owners",19998
Ford Econoline Cargo Van,2013,"307,292 miles","White exterior, Gray interior","2 accidents reported, 1 Owner",8995
Jeep Cherokee,2018,"60,305 miles","Black exterior, Black interior","1 accident reported, 2 Owners",15888
Toyota Camry,2020,"39,362 miles","Black exterior, Black interior","No accidents reported, 1 Owner",21222
Volkswagen Jetta,2017,"114,015 miles","Black exterior, Black interior","2 accidents reported, 2 Owners",11495
Mercedes-Benz A-Class,2020,"28,125 miles","Black exterior, Black interior","No accidents reported, 2 Owners",25631
Mercedes-Benz A-Class,2019,"34,366 miles","Black exterior, Black interior","1 accident reported, 3 Owners",21987
Mercedes-Benz C-Class,2017,"56,536 miles","White exterior, Beige interior","No accidents reported, 2 Owners",18995
Volkswagen Tiguan,2019,"73,055 miles","White exterior, Black interior","No accidents reported, 1 Owner",18998
BMW X3,2022,"6,316 miles","Black exterior, Brown interior","No accidents reported, 1 Owner",36499
Mercedes-Benz GLB,2023,"7,439 miles","White exterior, Beige interior","No accidents reported, 2 Owners",39880
Cadillac Escalade,2023,"13,889 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",89991
BMW X3,2021,"59,945 miles","White exterior, Black interior","No accidents reported, 1 Owner",25998
Audi R8,2012,"33,944 miles","Black exterior, Black interior","No accidents reported, 4 Owners",88000
Toyota Tacoma,2017,"62,689 miles","Silver exterior, Gray interior","2 accidents reported, 1 Owner",29333
Toyota Tacoma,2019,"117,204 miles","White exterior, Gray interior","1 accident reported, 1 Owner",19999
Mercedes-Benz C-Class,2023,"7,499 miles","Black exterior, Black interior","No accidents reported, 1 Owner",39777
Chevrolet Malibu,2022,"16,331 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",19991
Subaru Legacy,2023,"5,293 miles","White exterior, Gray interior","No accidents reported, 1 Owner",23999
Mercedes-Benz M-Class,2012,"130,708 miles","White exterior, Gray interior","No accidents reported, 2 Owners",8991
Honda Civic,2018,"72,905 miles","White exterior, Beige interior","No accidents reported, 3 Owners",14500
Hyundai Sonata,2013,"85,653 miles","Gray exterior, Gray interior","No accidents reported, 2 Owners",8995
Chrysler 300,2021,"61,474 miles","White exterior, Black interior","No accidents reported, 1 Owner",22621
Land Rover Range Rover,2014,"61,910 miles","White exterior, Black interior","No accidents reported, 3 Owners",26999
Toyota Tundra,2023,"6,478 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",61333
Volkswagen Atlas,2019,"36,108 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",23987
Volkswagen Tiguan,2017,"57,467 miles","Black exterior, Black interior","No accidents reported, 2 Owners",17998
Audi Q5,2020,"15,503 miles","Black exterior, Black interior","No accidents reported, 1 Owner",29999
Chevrolet Trailblazer,2021,"40,743 miles","Black exterior, Black interior","No accidents reported, 1 Owner",19888
Ford Fusion,2020,"42,121 miles","Black exterior, Black interior","No accidents reported, 1 Owner",16308
Kia Soul,2018,"52,817 miles","Gray exterior, Black interior","No accidents reported, 3 Owners",11995
Kia Forte,2023,"12,459 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",19991
Mercedes-Benz GLA,2021,"32,130 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",29419
Jeep Compass,2019,"84,793 miles","Black exterior, Black interior","1 accident reported, 3 Owners",17998
Acura MDX,2020,"17,913 miles","Black exterior, Black interior","No accidents reported, 1 Owner",31498
Honda Civic,2015,"116,519 miles","Silver exterior, Gray interior","1 accident reported, 4 Owners",9499
Mercedes-Benz SLK,2012,"66,614 miles","Black exterior, Black interior","No accidents reported, 2 Owners",17999
Chevrolet Malibu,2017,"96,583 miles","White exterior, Black interior","1 accident reported, 2 Owners",11999
Dodge Grand Caravan,2017,"124,407 miles","Black exterior, Black interior","No accidents reported, 2 Owners",8995
Mercedes-Benz SL,2000,"86,513 miles","White exterior, Beige interior","1 accident reported, 3 Owners",8995
Cadillac CTS,2004,"175,440 miles","White exterior, Beige interior","3 accidents reported, 4 Owners",4966
Dodge Journey,2018,"73,637 miles","Black exterior, Black interior","No accidents reported, 1 Owner",10999
Honda CR-V,2019,"27,490 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",24063
Honda CR-V,2021,"51,693 miles","Black exterior, Gray interior","No accidents reported, 1 Owner",24300
Subaru Outback,2023,"5,011 miles","White exterior, Gray interior","No accidents reported, 1 Owner",35300
Toyota Camry,2020,"40,875 miles","Black exterior, Unknown interior","No accidents reported, 2 Owners",21488
Mercedes-Benz C-Class,2021,"21,123 miles","Gray exterior, Black interior","1 accident reported, 1 Owner",28998
Volkswagen Jetta,2013,"79,328 miles","White exterior, Unknown interior","1 accident reported, 4 Owners",13599
Jeep Grand Cherokee,2018,"63,600 miles","Black exterior, Black interior","No accidents reported, 2 Owners",25998
Toyota Corolla,2021,"64,006 miles","White exterior, Gray interior","No accidents reported, 1 Owner",18985
Toyota RAV4,2018,"54,264 miles","White exterior, Black interior","No accidents reported, 0 Owners",19555
Hyundai Sonata,2016,"89,315 miles","Silver exterior, Gray interior","1 accident reported, 2 Owners",13998
Honda CR-V,2018,"54,900 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",22998
Toyota RAV4,2013,"61,283 miles","Blue exterior, Gray interior","2 accidents reported, 3 Owners",19998
